"PLANT_NO","UNIT_ID","POWER_COLLECTOR_KEY","UNIT_TYPE","DESCRIPTION","PHYSICAL_ADDRESS","CATEGORY","VENDOR","UNIT_SN","CREATE_TIME","LM_USER","LM_TIME","SPECIFICATION","DUMMY_FLAG","DEVICE_TREE_ID","WITH_DC","CAPACITY","CREATE_USER","facing","check_coefficient","INV_RSID","INV_SN","INV_NO","INV_SIZE","MPPT","STRING_QTY","ARRAY_QTY","MODULE_QTY","VMPP","IMPP","UPDATE_FLAG","db_updated_at"
"ECTT0006","ECTT0006M03a","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","WS",0.3,NULL,NULL,3,NULL,"a",23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M040","ECTT000601","INVERTER",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,0,66.7,"superadmin",NULL,0.3,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M041","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,1,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M042","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,2,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M043","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,3,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M044","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,4,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M045","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,5,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M046","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,6,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M047","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,7,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M048","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,8,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M049","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,9,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M04a","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,4,NULL,"a",23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M050","ECTT000601","INVERTER",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,0,66.7,"superadmin",NULL,0.3,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M051","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,1,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M052","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,2,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M053","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,3,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M054","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,4,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M055","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,5,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M056","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,6,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M057","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,7,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
"ECTT0006","ECTT0006M058","ECTT000601","MPPT",NULL,NULL,"METER",NULL,NULL,"2019-11-08 00:00:00","superadmin","2019-11-08 00:00:00","UNKNOWN","N",NULL,1,6.67,"superadmin","EN",0.3,NULL,NULL,5,NULL,8,23,1,0,NULL,NULL,NULL,"2019-11-08 00:00:00"
